symbol,timestamp,open,high,low,close,volume,transactions
O:SPXW241108P05760000,1730122500000,44.94,44.94,44.94,44.94,8,1
O:SPXW241108P05760000,1730123100000,46.82,46.82,46.82,46.82,1,1
O:SPXW241108P05760000,1730124000000,47.12,47.12,47.12,47.12,1,1
O:SPXW241108P05760000,1730124900000,46.22,46.22,46.22,46.22,7,1
O:SPXW241108P05760000,1730125800000,45.07,45.07,45.07,45.07,2,1
O:SPXW241108P05760000,1730126100000,45.67,45.67,45.67,45.67,2,2
O:SPXW241108P05760000,1730127000000,44.81,44.81,44.81,44.81,1,1
O:SPXW241108P05760000,1730127300000,44.45,45.17,44.45,45.17,21,7
O:SPXW241108P05760000,1730127600000,46.2,46.2,46.2,46.2,10,6
O:SPXW241108P05760000,1730127900000,46.57,46.57,46.57,46.57,4,4
O:SPXW241108P05760000,1730128500000,45.27,45.27,45.27,45.27,1,1
O:SPXW241108P05760000,1730128800000,46.67,46.67,46.67,46.67,8,1
O:SPXW241108P05760000,1730129100000,46.65,46.72,46.65,46.72,12,9
O:SPXW241108P05760000,1730129400000,46.52,48.57,46.52,48.19,19,8
O:SPXW241108P05760000,1730130300000,49.01,49.01,49.01,49.01,1,1
O:SPXW241108P05760000,1730130900000,49.6,49.6,49.6,49.6,1,1
O:SPXW241108P05760000,1730131800000,49.0,49.0,49.0,49.0,1,1
O:SPXW241108P05760000,1730133000000,48.7,48.7,48.7,48.7,10,1
O:SPXW241108P05760000,1730134200000,48.44,48.44,48.44,48.44,2,1
O:SPXW241108P05760000,1730137200000,46.54,46.72,46.54,46.72,24,2
O:SPXW241108P05760000,1730138700000,45.42,45.42,45.42,45.42,3,2
O:SPXW241108P05760000,1730139000000,46.5,46.5,46.5,46.5,1,1
O:SPXW241108P05760000,1730141700000,48.03,48.03,48.03,48.03,1,1
O:SPXW241108P05760000,1730145300000,50.57,50.57,50.57,50.57,2,2
O:SPXW241108P05760000,1730208600000,54.33,58.82,54.33,58.82,9,7
O:SPXW241108P05760000,1730208900000,59.35,59.35,59.35,59.35,3,2
O:SPXW241108P05760000,1730209500000,57.0,57.0,57.0,57.0,1,1
O:SPXW241108P05760000,1730210100000,52.9,52.9,52.9,52.9,2,1
O:SPXW241108P05760000,1730210400000,51.0,51.0,51.0,51.0,1,1
O:SPXW241108P05760000,1730215200000,47.27,47.27,47.27,47.27,2,1
